,steering,gas,break,rewards
0,0.664,0.448,0.464,15.846579804559958
1,0.7102803738317757,0.4672897196261682,0.4953271028037383,-0.34647887323957594
2,0.78,0.61,0.54,-0.43109965635748226
3,0.704,0.568,0.456,7.957407407407062
4,0.7142857142857143,0.5659340659340659,0.4945054945054945,91.17213740458047
5,0.6949152542372882,0.4491525423728814,0.4915254237288136,-0.245454545454673
6,0.7202797202797203,0.4755244755244755,0.46853146853146854,71.24323843416312
7,0.6276595744680851,0.5319148936170213,0.5638297872340425,-0.0666666666665593
8,0.7322834645669292,0.5039370078740157,0.47244094488188976,81.1944444444454
9,0.7294117647058823,0.6,0.4588235294117647,-0.24295302013420084
10,0.68,0.488,0.472,15.54605678233392
11,0.591304347826087,0.41739130434782606,0.4608695652173913,-0.2061797752811294
12,0.6814159292035398,0.4690265486725664,0.5309734513274337,-0.09949832775906353
13,0.584,0.528,0.496,-0.3953795379539575
14,0.625,0.475,0.4625,14.254671280276268
15,0.5961538461538461,0.47115384615384615,0.5,-0.038153310104581784
16,0.6101694915254238,0.4322033898305085,0.5169491525423728,-0.003987730061377426
17,0.6,0.504,0.568,9.398591549295697
18,0.6842105263157895,0.4824561403508772,0.41228070175438597,-0.05000000000014637
19,0.6375,0.5375,0.525,-0.39999999999996727
20,0.704,0.552,0.472,31.342105263157396
21,0.6982758620689655,0.47413793103448276,0.4482758620689655,-0.3303921568628786
22,0.75,0.35,0.65,-0.33553719008263705
23,0.7142857142857143,0.5178571428571429,0.6071428571428571,-0.0441176470588191
24,0.6477987421383647,0.5094339622641509,0.5408805031446541,20.86732026143749
25,0.6963350785340314,0.4973821989528796,0.49214659685863876,43.75606060605972
26,0.6176470588235294,0.4411764705882353,0.5294117647058824,-0.18098591549288168
27,0.672,0.568,0.496,27.41196013288991
28,0.648,0.52,0.512,8.440559440559037
29,0.68,0.46,0.53,-0.27988165680459876
30,0.7024793388429752,0.49586776859504134,0.5537190082644629,-0.20786163522011136
31,0.5454545454545454,0.21818181818181817,0.5636363636363636,-0.10901639344257386
32,0.6341463414634146,0.524390243902439,0.6585365853658537,-0.2930463576158344
33,0.6176470588235294,0.5,0.47794117647058826,22.131619937694104
34,0.632,0.456,0.512,22.645522388059298
35,0.608,0.48,0.464,7.048591549295559
36,0.6212121212121212,0.49242424242424243,0.5075757575757576,20.34446366781968
37,0.5308641975308642,0.5802469135802469,0.5308641975308642,-0.18971962616814314
38,0.6744186046511628,0.5581395348837209,0.46511627906976744,-0.38741721854298156
39,0.64,0.544,0.496,36.941666666666244
40,0.6019417475728155,0.49514563106796117,0.46601941747572817,-0.3114173228346081
41,0.6086956521739131,0.5072463768115942,0.5652173913043478,46.47142857142829
42,0.625,0.5375,0.4375,-0.08333333333327408
